iter	Passed	Remaining
414	2598	3663
415	2603	3654
416	2607	3645
417	2612	3637
418	2617	3628
419	2621	3619
420	2626	3612
421	2631	3604
422	2635	3595
423	2640	3587
424	2645	3579
425	2650	3570
426	2655	3563
427	2660	3555
428	2664	3546
429	2670	3539
430	2674	3531
431	2680	3524
432	2685	3516
433	2690	3508
434	2696	3501
435	2703	3496
436	2709	3490
437	2714	3483
438	2720	3476
439	2725	3469
440	2731	3462
441	2736	3455
442	2741	3446
443	2745	3438
444	2750	3429
445	2754	3421
446	2758	3413
447	2763	3404
448	2767	3396
449	2772	3388
450	2776	3380
451	2781	3372
452	2785	3363
453	2791	3357
454	2796	3349
455	2800	3341
456	2805	3333
457	2809	3325
458	2815	3318
459	2819	3309
460	2823	3301
461	2828	3293
462	2832	3285
463	2837	3278
464	2842	3270
465	2846	3262
466	2851	3254
467	2856	3247
468	2862	3241
469	2867	3233
470	2871	3225
471	2875	3217
472	2880	3209
473	2884	3201
474	2889	3193
475	2894	3186
476	2898	3178
477	2903	3170
478	2907	3162
479	2912	3155
480	2916	3147
481	2921	3139
482	2925	3131
483	2929	3123
484	2934	3115
485	2938	3108
486	2943	3100
487	2948	3093
488	2952	3085
489	2956	3077
490	2961	3069
491	2965	3062
492	2970	3054
493	2974	3046
494	2978	3039
495	2983	3031
496	2987	3023
497	2992	3016
498	2996	3008
499	3001	3001
500	3005	2993
501	3010	2986
502	3014	2978
503	3019	2971
504	3023	2963
505	3027	2956
506	3032	2948
507	3036	2941
508	3040	2933
509	3045	2925
510	3049	2918
511	3054	2911
512	3058	2903
513	3063	2896
514	3067	2888
515	3071	2881
516	3076	2873
517	3080	2866
518	3086	2860
519	3090	2852
520	3095	2846
521	3101	2840
522	3107	2833
523	3112	2827
524	3117	2820
525	3121	2813
526	3128	2807
527	3134	2802
528	3139	2795
529	3145	2789
530	3150	2782
531	3155	2776
532	3161	2770
533	3166	2763
534	3172	2757
535	3177	2750
536	3182	2744
537	3188	2737
538	3193	2731
539	3203	2728
540	3209	2723
541	3215	2717
542	3221	2711
543	3227	2705
544	3232	2698
545	3238	2693
