iter	Logloss
0	0.6168381761
1	0.5642276188
2	0.5198492285
3	0.4892007758
4	0.4576111909
5	0.438154224
6	0.4190789642
7	0.4037158938
8	0.3925920196
9	0.3841883252
10	0.3746035585
11	0.3688305914
12	0.3629058353
13	0.3574963975
14	0.3531954919
15	0.3494153587
16	0.3462641275
17	0.343059748
18	0.3409684707
19	0.338835968
20	0.3368837159
21	0.3354977304
22	0.3339426625
23	0.3326334089
24	0.3313338682
25	0.3297130416
26	0.3283962013
27	0.3272782505
28	0.32568919
29	0.324388833
30	0.3232924434
31	0.3226112768
32	0.3220415884
33	0.3213984662
34	0.320693975
35	0.3202091262
36	0.3195940371
37	0.3187991591
38	0.3181009498
39	0.3175150575
40	0.3170501972
41	0.3166771365
42	0.3161080741
43	0.3156332797
44	0.3152646422
45	0.3147143907
46	0.314369714
47	0.3139272942
48	0.3135677295
49	0.3131650358
50	0.3127121875
51	0.3124851144
52	0.3121985016
53	0.3119322247
54	0.3117148444
55	0.3113247443
56	0.3109407029
57	0.3107393451
58	0.3104676966
59	0.3102086543
60	0.3099636108
61	0.3096912139
62	0.3093132842
63	0.3090112687
64	0.308849002
65	0.3085102363
66	0.3082473528
67	0.3080406589
68	0.307857375
69	0.3076713158
70	0.307453556
71	0.3072763111
72	0.3070534814
73	0.3068494754
74	0.3066791969
75	0.3065254796
76	0.3063638411
77	0.306225101
78	0.3059704492
79	0.3058089843
80	0.3056903935
81	0.3054676053
82	0.3053453248
83	0.3051937402
84	0.3050081381
85	0.304791483
86	0.3046429944
87	0.3044670861
88	0.3043266255
89	0.3041645805
90	0.3040191805
91	0.30390181
92	0.3037602984
93	0.3035102854
94	0.3033920606
95	0.3032251988
96	0.3030952659
97	0.302900992
98	0.3027522234
99	0.3026780993
100	0.3025040591
101	0.3024049772
102	0.3021584275
103	0.3020348213
104	0.3018880169
105	0.3017539911
106	0.3016381101
107	0.3014741799
108	0.3012565842
109	0.3011076455
110	0.30097112
111	0.3008615935
112	0.3006563316
113	0.3005596757
114	0.3004090977
115	0.3002384878
116	0.3000931976
117	0.2999659313
118	0.2998825525
119	0.2997283681
120	0.2996230558
121	0.2995215229
122	0.299352868
123	0.2992084742
124	0.2990958516
125	0.2989658354
126	0.298900677
127	0.298801464
128	0.2986625084
129	0.2985538221
130	0.2984153784
131	0.2982829648
132	0.2981011403
133	0.2980240833
134	0.2978746945
135	0.2978102997
136	0.2976905183
137	0.2975937789
138	0.2974902
139	0.2973851733
140	0.2972781774
141	0.2971260355
142	0.2970110397
143	0.2968860566
144	0.296807523
145	0.2966835206
146	0.2965805488
147	0.2964489476
148	0.2963074312
149	0.2961625923
150	0.2960040762
151	0.295885877
152	0.2958152885
153	0.2957518486
154	0.2956431158
155	0.2955459534
156	0.2954173947
157	0.2953183785
158	0.295220008
159	0.2951277222
160	0.2950071008
161	0.294925301
162	0.2947829168
163	0.2947102886
164	0.2945922901
165	0.2944592426
166	0.2943334529
167	0.294245354
168	0.2941433358
169	0.2940280202
170	0.2939279535
171	0.2938127601
172	0.2936730073
173	0.2935593901
174	0.2935016867
175	0.2934112636
176	0.2932989244
177	0.2931486875
178	0.2930204945
179	0.2929062766
180	0.2928211026
181	0.2927133127
182	0.2925898596
183	0.2924778854
184	0.292381617
185	0.292248467
186	0.2921097295
187	0.2919817464
188	0.2918658053
189	0.2917985357
190	0.2917248211
191	0.2916425031
192	0.2915378781
193	0.2914519923
194	0.2913547498
195	0.2912372034
196	0.2911210032
197	0.2910093014
198	0.2909120214
199	0.2908120163
200	0.2906991215
201	0.2905468793
202	0.2904454926
203	0.2903253566
204	0.2902159191
205	0.2901150136
206	0.2900267728
207	0.2899374071
208	0.2898503815
209	0.2897477266
210	0.289642885
211	0.2895648778
212	0.2894818919
213	0.2894225274
214	0.289337323
215	0.2892525859
216	0.2891655349
217	0.2890747676
218	0.2890171712
219	0.2888577761
220	0.2887461162
221	0.2886637726
222	0.288559787
223	0.2884644328
224	0.2883561741
225	0.2883097445
226	0.2881988156
227	0.288090011
228	0.2880078534
229	0.2878147166
230	0.2877009366
231	0.2875708006
232	0.2874987639
233	0.2874151839
234	0.2873228965
235	0.2872210273
236	0.2871682922
237	0.2870620606
238	0.2869591331
239	0.2868896929
240	0.2868244571
241	0.286739733
242	0.2866603966
243	0.2865915076
244	0.2865168523
245	0.2864037614
246	0.2863145541
247	0.2862387945
248	0.2861301159
249	0.2860574849
250	0.2859724579
251	0.2858788746
252	0.2858004961
253	0.2856873932
254	0.2855934977
255	0.2855160159
256	0.2854440918
257	0.2853750408
258	0.2853080771
259	0.2852193608
260	0.2851374569
261	0.2850710352
262	0.2850184548
263	0.2849360199
264	0.2848487456
265	0.2847795319
266	0.2847059647
267	0.2846393109
268	0.2845955192
269	0.2845277171
270	0.2844495643
271	0.284334886
272	0.2842580763
273	0.2841571233
274	0.2840903276
275	0.2840160918
276	0.2839536729
277	0.2838808175
278	0.283812009
279	0.2837084012
280	0.2836083191
281	0.2835298387
282	0.2834747661
283	0.2833885307
284	0.2833119024
285	0.2832243552
286	0.2831672833
287	0.2830327053
288	0.2829175228
289	0.2828113564
290	0.2827360202
291	0.2826645047
